CODIGO  ;DESCRICAO DO INSUMO;UNIDADE DE MEDIDA;PRECO MEDIANO R$
1780;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 4""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;669,91
1783;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;70,83
1782;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;56,00
1817;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;16,69
1781;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;36,49
1784;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;200,01
1810;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 2""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;110,94
1811;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;24,00
1812;"CURVA 45 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 3""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;280,05
40386;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;88,26
40384;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;60,42
40379;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;20,89
40423;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1""                                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;39,53
40389;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;250,69
40388;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 2""                                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;125,48
40381;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;27,85
40391;"CURVA 45 GRAUS EM ACO CARBONO, SOLDAVEL, PRESSAO 3.000 LBS, DN 3""                                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;650,67
2609;"CURVA 45 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 20 MM (3/4""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                                ";UN    ;3,93
2634;"CURVA 45 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 25 MM (1""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                                  ";UN    ;5,16
2611;"CURVA 45 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 40 MM (1 1/2""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                              ";UN    ;14,54
40414;"CURVA 45 GRAUS RANHURADA EM FERRO FUNDIDO, DN 50 MM (2"")                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";UN    ;19,49
40416;"CURVA 45 GRAUS RANHURADA EM FERRO FUNDIDO, DN 65 MM (2 1/2"")                                                                                                                                                                                                                                                                                                                                                                                                                                              ";UN    ;26,95
40418;"CURVA 45 GRAUS RANHURADA EM FERRO FUNDIDO, DN 80 MM (3"")                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";UN    ;32,14
34359;"CURVA 90 GRAUS DE BARRA CHATA EM ALUMINIO 3/4"" X 1/4"" X 300 MM                                                                                                                                                                                                                                                                                                                                                                                                                                            ";UN    ;11,21
1789;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;88,60
1788;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;71,02
1786;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;17,63
1787;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 1""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;42,22
1791;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;256,04
1790;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 2""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;147,54
1813;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;27,98
1792;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 3""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;345,62
1793;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP FEMEA, DE 4""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;698,39
1809;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;83,06
1814;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;68,23
1803;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;17,24
1805;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 1""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;39,60
1821;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;233,93
1806;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 2""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;139,24
1804;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;24,54
1807;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 3""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;334,56
1808;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO/FEMEA, DE 4""                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;670,74
1797;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;100,60
1796;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;77,17
1794;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;18,42
1816;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 1""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;41,53
1815;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;318,96
1798;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 2""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;142,72
1795;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;25,52
1799;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 3""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;415,42
1800;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 4""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;793,11
1802;"CURVA 90 GRAUS DE FERRO GALVANIZADO, COM ROSCA BSP MACHO, DE 6""                                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;1.983,88
40385;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;88,26
40383;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1 1/4""                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;60,42
40378;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;20,89
40382;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 1""                                                                                                                                                                                                                                                                                                                                                                                                                             ";UN    ;39,53
40422;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 2 1/2""                                                                                                                                                                                                                                                                                                                                                                                                                         ";UN    ;269,30
40387;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 2""                                                                                                                                                                                                                                                                                                                                                                                                                             ";UN    ;137,12
40380;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 3/4""                                                                                                                                                                                                                                                                                                                                                                                                                           ";UN    ;27,85
40390;"CURVA 90 GRAUS EM ACO CARBONO, RAIO CURTO, SOLDAVEL, PRESSAO 3.000 LBS, DN 3""                                                                                                                                                                                                                                                                                                                                                                                                                             ";UN    ;567,18
2621;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 100 MM (4"")                                                                                                                                                                                                                                                                                                                                                                                                       ";UN    ;124,40
2616;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 15 MM (1/2""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                                ";UN    ;3,52
2633;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 20 MM (3/4""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                                ";UN    ;3,98
2617;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 25 MM (1""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                                  ";UN    ;5,41
2618;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 32 MM (1 1/4""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                              ";UN    ;12,32
2632;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 40 MM (1 1/2""), ESPESSURA DE 1,50 MM                                                                                                                                                                                                                                                                                                                                                                              ";UN    ;15,03
2631;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 50 MM (2"")                                                                                                                                                                                                                                                                                                                                                                                                        ";UN    ;22,06
2619;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 65 MM (2 1/2"")                                                                                                                                                                                                                                                                                                                                                                                                    ";UN    ;55,87
2620;"CURVA 90 GRAUS PARA ELETRODUTO, EM ACO GALVANIZADO ELETROLITICO, COM ROSCA, DIAMETRO DE 80 MM (3"")                                                                                                                                                                                                                                                                                                                                                                                                        ";UN    ;73,35
40413;"CURVA 90 GRAUS RANHURADA EM FERRO FUNDIDO, DN 50 MM (2"")                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";UN    ;21,18
40415;"CURVA 90 GRAUS RANHURADA EM FERRO FUNDIDO, DN 65 MM (2 1/2"")                                                                                                                                                                                                                                                                                                                                                                                                                                              ";UN    ;30,18
40417;"CURVA 90 GRAUS RANHURADA EM FERRO FUNDIDO, DN 80 MM (3"")                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";UN    ;35,60
39271;"CURVA 90 GRAUS, CURTA, DE PVC RIGIDO ROSCAVEL, DE 1/2"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;1,28
39273;"CURVA 90 GRAUS, CURTA, DE PVC RIGIDO ROSCAVEL, DE 1"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;2,17
39272;"CURVA 90 GRAUS, CURTA, DE PVC RIGIDO ROSCAVEL, DE 3/4"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;1,57
1875;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 1 1/2"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;3,48
1874;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 1 1/4"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;2,87
1870;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 1/2"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;1,66
1884;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 1"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;2,55
1887;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 2 1/2"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                 ";UN    ;14,43
1876;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 2"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;5,65
1879;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 3/4"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                   ";UN    ;1,68
1877;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 3"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;14,45
1878;"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 4"", PARA ELETRODUTO                                                                                                                                                                                                                                                                                                                                                                                                                                     ";UN    ;29,03
44472;DENTE PARA  FRESADORA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;UN    ;54,89
38369;DESEMPENADEIRA DE ACO DENTADA 12 X *25* CM, DENTES 8 X 8 MM, CABO FECHADO DE MADEIRA                                                                                                                                                                                                                                                                                                                                                                                                                      ;UN    ;21,63
38370;DESEMPENADEIRA DE ACO LISA 12 X *25* CM COM CABO FECHADO DE MADEIRA                                                                                                                                                                                                                                                                                                                                                                                                                                       ;UN    ;21,63
38372;DESEMPENADEIRA PLASTICA LISA *14 X 27* CM                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;UN    ;20,92
